query_time,dau,behaviors,mau,mau_lower,mau_upper,country,age_group,gender_alias
2024-05-31 21:39:22,-3,Lived in Luxembourg (Formerly Expats - Luxembourg),-3,-3,-3,DE,13-19,F
2024-05-31 21:39:32,5065066,,7200000,6600000,7800000,DE,20-24,all
2024-05-31 21:39:43,202052,Lives abroad,265750,244200,287300,DE,20-24,all
2024-05-31 21:39:56,699,Lived in Austria (Formerly Expats - Austria),1000,1000,1000,DE,20-24,all
2024-05-31 21:40:06,664,Lived in Belgium (Formerly Expats - Belgium),1000,1000,1000,DE,20-24,all
2024-05-31 21:40:16,713,Lived in Czech Republic (Formerly Expats - Czech Republic),1000,1000,1000,DE,20-24,all
2024-05-31 21:40:26,994,Lived in Denmark (Formerly Expats - Denmark),1000,1000,1000,DE,20-24,all
2024-05-31 21:40:37,989,Lived in Estonia (Formerly Expats - Estonia),1000,1000,1000,DE,20-24,all
2024-05-31 21:40:47,0,Lived in Finland (Formerly Expats - Finland),1000,1000,1000,DE,20-24,all
2024-05-31 21:40:58,499,Lived in France (Formerly Expats - France),1000,1000,1000,DE,20-24,all
2024-05-31 21:41:08,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,20-24,all
2024-05-31 21:41:19,2024,Lived in Hungary (Formerly Expats - Hungary),2500,2300,2700,DE,20-24,all
2024-05-31 21:41:29,0,Lived in Ireland (Formerly Expats - Ireland),1000,1000,1000,DE,20-24,all
2024-05-31 21:41:40,3299,Lived in Italy (Formerly Expats - Italy),4750,4400,5100,DE,20-24,all
2024-05-31 21:41:51,443,Lived in Lithuania (Formerly Expats - Lithuania),1000,1000,1000,DE,20-24,all
2024-05-31 21:42:01,817,Lived in Netherlands (Formerly Expats - Netherlands),1000,1000,1000,DE,20-24,all
2024-05-31 21:42:12,994,Lived in Norway (Formerly Expats - Norway),1000,1000,1000,DE,20-24,all
2024-05-31 21:42:22,13245,Lived in Poland (Formerly Expats - Poland),15650,14400,16900,DE,20-24,all
2024-05-31 21:42:33,856,Lived in Portugal (Formerly Expats - Portugal),1150,1100,1200,DE,20-24,all
2024-05-31 21:42:43,19349,Lived in Romania (Formerly Expats - Romania),21450,19700,23200,DE,20-24,all
2024-05-31 21:42:54,854,Lived in Russia (Formerly Expats - Russia),1750,1600,1900,DE,20-24,all
2024-05-31 21:43:05,3284,Lived in Serbia (Formerly Expats - Serbia),4250,3900,4600,DE,20-24,all
2024-05-31 21:43:16,817,Lived in Slovakia (Formerly Expats - Slovakia),1000,1000,1000,DE,20-24,all
2024-05-31 21:43:26,835,Lived in Spain (Formerly Expats - Spain),1200,1100,1300,DE,20-24,all
2024-05-31 21:43:37,997,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,20-24,all
2024-05-31 21:43:47,989,Lived in Switzerland (Formerly Expats - Switzerland),1000,1000,1000,DE,20-24,all
