query_time,dau,behaviors,mau,mau_lower,mau_upper,country,age_group,gender_alias
2024-06-01 01:40:06,1249,Lived in France (Formerly Expats - France),2350,2200,2500,DE,40-44,all
2024-06-01 01:40:16,994,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,40-44,all
2024-06-01 01:40:47,14114,Lived in Italy (Formerly Expats - Italy),15350,14100,16600,DE,40-44,all
2024-06-01 01:41:08,1551,Lived in Netherlands (Formerly Expats - Netherlands),2050,1900,2200,DE,40-44,all
2024-06-01 01:41:30,40294,Lived in Poland (Formerly Expats - Poland),42550,39100,46000,DE,40-44,all
2024-06-01 01:42:34,3273,Lived in Spain (Formerly Expats - Spain),4050,3700,4400,DE,40-44,all
2024-06-01 01:42:45,598,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,40-44,all
2024-06-01 01:43:05,2724,Lived in United Kingdom (Formerly Expats - United Kingdom),2950,2700,3200,DE,40-44,all
2024-06-01 01:45:01,757,Lived in France (Formerly Expats - France),1200,1100,1300,DE,40-44,M
2024-06-01 01:45:11,994,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,40-44,M
2024-06-01 01:45:42,7199,Lived in Italy (Formerly Expats - Italy),7950,7300,8600,DE,40-44,M
2024-06-01 02:31:06,737,Lived in Netherlands (Formerly Expats - Netherlands),1100,1000,1200,DE,40-44,M
2024-06-01 02:31:27,16449,Lived in Poland (Formerly Expats - Poland),16900,15500,18300,DE,40-44,M
2024-06-01 02:32:29,1649,Lived in Spain (Formerly Expats - Spain),2050,1900,2200,DE,40-44,M
2024-06-01 02:32:39,332,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,40-44,M
2024-06-01 02:33:00,1686,Lived in United Kingdom (Formerly Expats - United Kingdom),1700,1600,1800,DE,40-44,M
2024-06-01 02:34:56,645,Lived in France (Formerly Expats - France),1150,1100,1200,DE,40-44,F
2024-06-01 02:35:07,0,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,40-44,F
2024-06-01 02:35:38,6464,Lived in Italy (Formerly Expats - Italy),7200,6600,7800,DE,40-44,F
2024-06-01 02:36:00,997,Lived in Netherlands (Formerly Expats - Netherlands),1000,1000,1000,DE,40-44,F
2024-06-01 02:36:22,24461,Lived in Poland (Formerly Expats - Poland),25900,23800,28000,DE,40-44,F
2024-06-01 02:37:26,1573,Lived in Spain (Formerly Expats - Spain),1950,1800,2100,DE,40-44,F
2024-06-01 02:37:36,994,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,40-44,F
2024-06-01 02:37:58,909,Lived in United Kingdom (Formerly Expats - United Kingdom),1200,1100,1300,DE,40-44,F
2024-06-01 02:39:57,1683,Lived in France (Formerly Expats - France),1850,1700,2000,DE,45-49,all
2024-06-01 02:40:08,989,Lived in Germany (Formerly Expats - Germany),1000,1000,1000,DE,45-49,all
2024-06-01 02:40:39,13746,Lived in Italy (Formerly Expats - Italy),15100,13900,16300,DE,45-49,all
2024-06-01 03:26:05,1528,Lived in Netherlands (Formerly Expats - Netherlands),1850,1700,2000,DE,45-49,all
2024-06-01 03:26:26,39036,Lived in Poland (Formerly Expats - Poland),41250,37900,44600,DE,45-49,all
2024-06-01 03:27:32,2385,Lived in Spain (Formerly Expats - Spain),3250,3000,3500,DE,45-49,all
2024-06-01 03:27:43,831,Lived in Sweden (Formerly Expats - Sweden),1000,1000,1000,DE,45-49,all
2024-06-01 03:28:05,1785,Lived in United Kingdom (Formerly Expats - United Kingdom),2300,2100,2500,DE,45-49,all
2024-06-01 03:30:03,908,Lived in France (Formerly Expats - France),1000,1000,1000,DE,45-49,M
