"","headline","links","scrapetime","shortname","sentiment"
"69","Bedtime in the cubicle? Musk expects extreme dedication.","https://www.washingtonpost.com/technology/2022/11/18/musk-twitter-work-culture/",2022-11-23 00:15:06.242801,"washingtonpost",0.5
"70","French regulator warns Twitter of legal duty to moderate misinformation, hate","https://www.washingtonpost.com/technology/2022/11/22/twitter-france-regulator-musk-content-moderation/",2022-11-23 00:15:06.242801,"washingtonpost",-0.85
"71","How the Biden administration wants to tackle foreign commercial spyware","https://www.washingtonpost.com/politics/2022/11/22/how-biden-administration-wants-tackle-foreign-commercial-spyware/",2022-11-23 00:15:06.242801,"washingtonpost",-0.5
"72","Tech group urges DOJ to take sides in Supreme Court's Section 230 bout","https://www.washingtonpost.com/politics/2022/11/22/tech-group-urges-doj-take-sides-supreme-court-section-230-bout/",2022-11-23 00:15:06.242801,"washingtonpost",-0.1
"73","Indonesia quake toll soars above 250 amid frantic search for survivors","https://www.washingtonpost.com/world/2022/11/22/indonesia-java-earthquake-death-toll/",2022-11-23 00:15:06.242801,"washingtonpost",-1.35
"74","Zelensky urges power rationing; Ukraine�s security service raids Kyiv monastery","https://www.washingtonpost.com/world/2022/11/22/russia-ukraine-war-latest-updates/",2022-11-23 00:15:06.242801,"washingtonpost",0
"75","In Kherson city, sympathies for Russia complicate reintegration into Ukraine","https://www.washingtonpost.com/world/2022/11/22/kherson-city-sympathies-russia-complicate-reintegration-into-ukraine/",2022-11-23 00:15:06.242801,"washingtonpost",-0.4
"76","U.K. police hires applicants with history of crime, harassment, watchdog finds","https://www.washingtonpost.com/world/2022/11/22/uk-police-harassment-background-report/",2022-11-23 00:15:06.242801,"washingtonpost",-2.25
"77","Behold Carrot, the 67-pound goldfish caught in France","https://www.washingtonpost.com/world/2022/11/22/giant-goldfish-caught-france/",2022-11-23 00:15:06.242801,"washingtonpost",0
"78","Alabama pauses executions after third lethal injection fails","https://www.washingtonpost.com/nation/2022/11/22/alabama-pausing-executions-lethal-injections/",2022-11-23 00:15:06.242801,"washingtonpost",-1
"79","Cecilia �Cissy� Marshall, keeper of Thurgood Marshall�s legacy, dies at 94","https://www.washingtonpost.com/obituaries/2022/11/22/cissy-marshall-thurgood-dead/",2022-11-23 00:15:06.242801,"washingtonpost",-0.2
"80","Police responding to hostage call find 4 dead at apparent pot farm in Okla.","https://www.washingtonpost.com/nation/2022/11/22/oklahoma-hostages-killed-marijuana-farm/",2022-11-23 00:15:06.242801,"washingtonpost",-1.75
"81","In Disney shake-up, Bob Iger returns as CEO and starts making changes","https://www.washingtonpost.com/business/2022/11/20/disney-reappoints-robert-iger-ceo-next-two-years-ousting-bob-chapek/",2022-11-23 00:15:06.242801,"washingtonpost",0
"82","Inflation could steal Christmas, but shoppers are finding ways around it","https://www.washingtonpost.com/business/2022/11/19/inflation-impacts-holiday-season-shopping/",2022-11-23 00:15:06.242801,"washingtonpost",-1.35
"83","Defrauded student loan borrowers in line for relief are still waiting months later","https://www.washingtonpost.com/education/2022/11/21/borrower-defense-discharges-delayed/",2022-11-23 00:15:06.242801,"washingtonpost",0.5
"84","A stowaway cat snuck into a suitcase. TSA thwarted his travel plans.","https://www.washingtonpost.com/travel/2022/11/22/stowaway-cat-checked-bag-tsa/",2022-11-23 00:15:06.242801,"washingtonpost",-0.8
"85","A new generation of parents discovers it�s OK to �sittervise�","https://www.washingtonpost.com/parenting/2022/11/22/sittervise-child-development-play/",2022-11-23 00:15:06.242801,"washingtonpost",1.2
"86","Why don�t more men take their wives� last names?","https://www.washingtonpost.com/lifestyle/2022/11/22/married-men-taking-wifes-name/",2022-11-23 00:15:06.242801,"washingtonpost",0
"87","A real-life food critic reviews on-screen food critics","https://www.washingtonpost.com/food/2022/11/21/food-critics-movies-tv-menu-bear/",2022-11-23 00:15:06.242801,"washingtonpost",-0.85
"88","�Strange World�: Beautiful to look at, but not much below the surface","https://www.washingtonpost.com/movies/2022/11/22/strange-world-movie-review/",2022-11-23 00:15:06.242801,"washingtonpost",0.25
"89","Jay Leno leaves hospital after treatment for severe burns","https://www.washingtonpost.com/lifestyle/2022/11/22/jay-leno-accident-hosptial-burns/",2022-11-23 00:15:06.242801,"washingtonpost",-1.4
"90","After meltdown paralyzed I-95, Virginia agencies prepare for winter driving","https://www.washingtonpost.com/transportation/2022/11/22/virginia-i95-storm-lessons/",2022-11-23 00:15:06.242801,"washingtonpost",-1.4
"91","How much will it snow in D.C. this winter? Play our forecast game.","https://www.washingtonpost.com/climate-environment/2022/11/22/dc-snow-forecast-contest-2022/",2022-11-23 00:15:06.242801,"washingtonpost",0
"92","D.C. public schools requiring negative covid tests after Thanksgiving","https://www.washingtonpost.com/education/2022/11/22/dc-schools-covid-test-thanksgiving-break/",2022-11-23 00:15:06.242801,"washingtonpost",0.05
"93","Sick kids are filling hospitals. But there aren�t enough beds.","https://www.washingtonpost.com/dc-md-va/2022/11/22/rsv-pediatric-beds-emergency-room/",2022-11-23 00:15:06.242801,"washingtonpost",-1.25
"94","Maryland�s mobile sports betting industry starts Wednesday","https://www.washingtonpost.com/dc-md-va/2022/11/22/maryland-sports-betting-launch/",2022-11-23 00:15:06.242801,"washingtonpost",0
"95","PM Update: Staying quite pleasant through Wednesday","https://www.washingtonpost.com/weather/2022/11/22/dc-area-forecast-pleasant-weather/",2022-11-23 00:15:06.242801,"washingtonpost",1
"96","Morning weather briefing","https://www.washingtonpost.com/podcasts/capital-weather-gang/november-22-morning-weather-update/",2022-11-23 00:15:06.242801,"washingtonpost",0
"97","Coronavirus variants are dodging antibody treatments. New lab-made options may help.","https://www.washingtonpost.com/health/2022/11/21/monoclonal-antibodies-covid-variants/",2022-11-23 00:15:06.242801,"washingtonpost",0.55
"98","Broader pandemic aid fight could ensnare long covid funding","https://www.washingtonpost.com/politics/2022/11/22/broader-pandemic-aid-fight-could-ensnare-long-covid-funding/",2022-11-23 00:15:06.242801,"washingtonpost",-0.1
"99","Visually impaired people less likely to access health care, CDC says","https://www.washingtonpost.com/health/2022/11/21/vision-blindness-reduced-health-care/",2022-11-23 00:15:06.242801,"washingtonpost",0.2
"100","Loss of 38 satellites prompts call for better space weather forecasts","https://www.washingtonpost.com/science/2022/11/19/space-weather-forecasting/",2022-11-23 00:15:06.242801,"washingtonpost",0.05
"101","Webb telescope spots earliest galaxies yet, and they are cosmic oddballs","https://www.washingtonpost.com/science/2022/11/17/webb-telescope-earliest-galaxies/",2022-11-23 00:15:06.242801,"washingtonpost",0
"102","Some octopus species may deliberately throw stuff to defend personal space","https://www.washingtonpost.com/science/2022/11/17/octopus-throwing-things-study/",2022-11-23 00:15:06.242801,"washingtonpost",0.25
"103","Cristiano Ronaldo, Manchester United agree to part ways","https://www.washingtonpost.com/sports/2022/11/22/cristiano-ronaldo-manchester-united/",2022-11-23 00:15:06.242801,"washingtonpost",1
"104","The UFC is synonymous with mixed martial arts. Has a new challenger emerged?","https://www.washingtonpost.com/sports/2022/11/22/pfl-challenging-ufc/",2022-11-23 00:15:06.242801,"washingtonpost",0.4
"105","Thirteen NFL teams have never had a Black coach. Here�s the story of one franchise.","https://www.washingtonpost.com/sports/interactive/2022/ny-giants-head-coach-history/",2022-11-23 00:15:06.242801,"washingtonpost",-0.25
"106","For the Capitals, the first quarter of the season has been painful","https://www.washingtonpost.com/sports/2022/11/22/washington-capitals-injuries/",2022-11-23 00:15:06.242801,"washingtonpost",-0.5
"107","NFL best bets for Week 12: Keep riding this Commanders wave","https://www.washingtonpost.com/sports/2022/11/22/nfl-picks-odds-best-bets-week-12/",2022-11-23 00:15:06.242801,"washingtonpost",0.5
"108","The secret to a bold weeknight pasta sauce? A little anchovy boost.","https://www.washingtonpost.com/food/2022/11/22/anchovy-tomato-sauce-recipe/",2022-11-23 00:15:06.242801,"washingtonpost",0.75
"109","Our 10 favorite cookbooks of 2022","https://www.washingtonpost.com/food/2022/11/22/best-2022-cookbook/",2022-11-23 00:15:06.242801,"washingtonpost",0.75
"110","A sweet and spicy sauce makes this vegetarian asado worth celebrating","https://www.washingtonpost.com/food/2022/11/22/cauliflower-wedding-asado-recipe/",2022-11-23 00:15:06.242801,"washingtonpost",2.25
"111","Stew hash browns for a spicy Creole twist on a favorite dish","https://www.washingtonpost.com/food/2022/11/22/creole-hash-browns-recipe/",2022-11-23 00:15:06.242801,"washingtonpost",0.5
"112","Thanksgiving travel will be crowded, but not as chaotic as the summer","https://www.washingtonpost.com/travel/2022/11/21/thanksgiving-traffic-airports-weather/",2022-11-23 00:15:06.242801,"washingtonpost",-0.55
"113","9 changes Disney fans want returning CEO Bob Iger to make at parks","https://www.washingtonpost.com/travel/2022/11/21/disney-parks-iger-chapek-ceo/",2022-11-23 00:15:06.242801,"washingtonpost",0.6
"114","Central America is a diver�s paradise. Here are 5 spots to get deep.","https://www.washingtonpost.com/travel/tips/best-diving-belize-nicaragua-panama/",2022-11-23 00:15:06.242801,"washingtonpost",0.5
"115","Scientists from Rush Medical Centre in Chicago recruited 961 people with an average age of 81 and who didn't have dementia for their study, which lasted seven years.","/health/article-11457975/Tea-wine-veg-key-preventing-dementia.html",2022-11-23 00:15:07.908943,"dailymail",-0.25
"116","Matt Hancock has broken Government rules by not consulting Parliament's anti-corruption watchdog before appearing on I'm A Celebrity...Get Me Out of Here!, the body's chairman has ruled.","/news/article-11458565/Matt-Hancock-broke-rules-failing-consult-watchdog-appearing-Im-Celeb.html",2022-11-23 00:15:07.908943,"dailymail",-1
"117","Seann Walsh was left feeling sick as he took part in the Grot Yoga trial alongside Mike Tindall and Boy George during Tuesday's I'm A Celebrity... Get Me Of Here!","/tvshowbiz/celebrity/article-11458827/Im-Celebrity-2022-Seann-Walsh-Boy-George-Mike-Tindall-bag-EIGHT-stars-Grot-Yoga-trial.html",2022-11-23 00:15:07.908943,"dailymail",-0.25
"118","Sussex Police has threatened a women right's group founder with a hate crime arrest after a rally two months ago where her group was attacked by pro-trans activists.","/news/article-11456405/Police-threaten-arrest-womens-rights-campaigner-doesnt-attend-voluntary-interview.html",2022-11-23 00:15:07.908943,"dailymail",-3.35
"119","The businessman, who worked in investment banking before taking over family firm Occidental Petroleum, passed away on Sunday, the website said.","/news/article-11459103/Armie-Hammers-father-dies-aged-67.html",2022-11-23 00:15:07.908943,"dailymail",0.25
"120","It's not every day that people can get up close and personal with the powerful animals that are polar bears- for fear that they might attack or even kill humans. But professional photographer and cinematographer Martin Gregus, 26, managed the amazing feat over the summer. He took photos of the polar bears at their most relaxed, cuddling, chilling and napping in Canada's spectacular fireweed fields close to Churchill, Manitoba, in incredible images that took 33 days to capture and have reemerged online. In one image, a mother and cub are seen in a purple field of flowers, cuddled up together (top right) and in another shot, a polar bear sleeps on a rock, curled up (bottom right).�Other images show polar bears basking in the sun and relaxing in the field (top left and inset) and feeding (bottom left). Polar bears can weigh up to 1,500 pounds and measure in excess of seven feet long and the animals are�not actually white- they have black skin with white fur.","/news/article-11457499/Polar-bears-cubs-captured-relaxed-cuddle-chill-nap.html",2022-11-23 00:15:07.908943,"dailymail",2.55
"121","How the Colorado shooting unfolded � and ended","https://www.washingtonpost.com/nation/2022/11/21/colorado-springs-clubq-shooting-what-happened/",2022-11-22 12:15:04.068422,"washingtonpost",-0.6
"122","Richard Fierro went to Club Q for a friend�s birthday. He soon found himself confronting a gunman.","https://www.washingtonpost.com/nation/2022/11/21/clubq-shooter-stopped-army-veteran/",2022-11-22 12:15:04.068422,"washingtonpost",2.2
"123","Shooting suspect�s troubled past was obscured by a name change, records show","https://www.washingtonpost.com/national-security/2022/11/21/colorado-springs-qbar-shooter/",2022-11-22 12:15:04.068422,"washingtonpost",-2.7
"124","Bartender Derrick Rump was seen as the glue that held together the queer community","https://www.washingtonpost.com/dc-md-va/2022/11/21/derrick-rump-colorado-springs-shooting-victim/",2022-11-22 12:15:04.068422,"washingtonpost",0.35
"125","VMI�s first Black superintendent under attack by conservative White alumni","https://www.washingtonpost.com/dc-md-va/2022/11/20/cedric-wins-vmi-white-alumni-attacks/",2022-11-22 12:15:04.068422,"washingtonpost",-0.6
"126","From Europe, Trump special counsel takes over Mar-a-Lago, Jan. 6 probes","https://www.washingtonpost.com/national-security/2022/11/21/trump-investigations-jack-smith/",2022-11-22 12:15:04.068422,"washingtonpost",1.1
"127","The Colorado massacre cannot be blamed on mental illness. It�s rooted in hate.","https://www.washingtonpost.com/opinions/2022/11/21/colorado-springs-club-q-lgbtq-homophobia-hate/",2022-11-22 12:15:04.068422,"washingtonpost",-2.5
"128","Americans thought inflation and crime would be on the menu","https://www.washingtonpost.com/opinions/2022/11/21/republicans-hunter-biden-investigations-inflation-crime/",2022-11-22 12:15:04.068422,"washingtonpost",-1.35
"129","California greenlights jaywalking. It�s a step in the right direction.","https://www.washingtonpost.com/opinions/2022/11/21/california-jaywalking-legalized/",2022-11-22 12:15:04.068422,"washingtonpost",0.8
